trial	ptIdx	percentValid	centX	centY	centDist	centAngle	RMS	subj	glasses	dist	offset
7	15	1.9830	972.5880	351.6760	1.1880	406.8060	0.0790	101	Pupil Labs	2M	10Rdeg
8	11	1.9830	243.0250	352.6760	0.9690	422.6020	0.0830	101	Pupil Labs	2M	10Rdeg
9	5	1.9830	959.6340	47.1600	1.0160	403.4170	0.0450	101	Pupil Labs	2M	10Rdeg
1	23	1.9830	508.8660	756.5920	0.3010	443.4100	0.0980	101	Pupil Labs	3M	0deg
2	1	1.9830	101.2140	95.3490	0.3770	492.5440	0.0760	101	Pupil Labs	3M	0deg
3	25	1.9830	847.5420	682.6640	0.5900	444.6130	0.0790	101	Pupil Labs	3M	0deg
4	11	1.9830	103.0670	376.6180	0.5410	477.2700	0.0650	101	Pupil Labs	3M	0deg
5	3	1.9830	475.4200	83.9500	0.3360	466.5500	0.1290	101	Pupil Labs	3M	0deg
6	13	1.9830	447.7060	421.3030	0.3680	483.6040	0.0670	101	Pupil Labs	3M	0deg
7	5	1.9830	808.4450	118.0210	0.2130	477.0950	0.1140	101	Pupil Labs	3M	0deg
8	21	1.9830	94.1550	704.4580	0.5760	479.3640	0.0770	101	Pupil Labs	3M	0deg
9	15	1.9830	829.9920	355.7860	0.5620	451.3270	0.0710	101	Pupil Labs	3M	0deg
1	23	1.9580	428.4130	642.0680	0.7960	470.5200	0.3420	101	Pupil Labs	3M	10Ldeg
2	21	1.9830	99.3780	609.0840	0.9120	466.7020	0.0810	101	Pupil Labs	3M	10Ldeg
3	1	1.9830	103.6810	19.1130	0.6250	473.1160	0.0910	101	Pupil Labs	3M	10Ldeg
4	25	1.9830	771.9580	601.4240	0.9350	464.8240	0.1000	101	Pupil Labs	3M	10Ldeg
5	3	1.9830	419.1430	23.9240	0.6390	479.5300	0.0680	101	Pupil Labs	3M	10Ldeg
6	15	1.9830	756.8450	274.1680	0.9290	468.7110	0.1680	101	Pupil Labs	3M	10Ldeg
7	11	1.9920	56.5100	296.2340	0.9020	478.3960	0.0650	101	Pupil Labs	3M	10Ldeg
8	13	1.9830	418.4790	271.0550	0.9470	469.5990	0.0680	101	Pupil Labs	3M	10Ldeg
9	5	1.9830	739.8570	13.2560	0.7000	481.3550	0.1070	101	Pupil Labs	3M	10Ldeg
1	15	1.9830	950.9120	606.5130	0.6180	317.8270	0.0710	101	Pupil Labs	3M	10Rdeg
2	5	1.9830	1034.1340	240.2560	0.8330	339.8730	0.0770	101	Pupil Labs	3M	10Rdeg
3	21	1.0000	341.6000	795.4000	0.6970	372.2350	0.1810	101	Pupil Labs	3M	10Rdeg
4	11	1.9830	125.0800	669.1130	0.6780	256.1840	0.1490	101	Pupil Labs	3M	10Rdeg
5	13	1.9830	528.0840	705.6890	0.8090	277.7750	0.1180	101	Pupil Labs	3M	10Rdeg
6	1	1.9830	160.9410	290.9410	0.4850	267.3620	0.0910	101	Pupil Labs	3M	10Rdeg
7	25	1.9830	906.7770	931.5920	0.4780	306.7760	0.0630	101	Pupil Labs	3M	10Rdeg
8	3	1.9830	565.1760	190.8450	0.2710	339.6470	0.0840	101	Pupil Labs	3M	10Rdeg
9	23	1.9830	481.3530	877.5130	0.1870	247.1170	0.0890	101	Pupil Labs	3M	10Rdeg
1	21	0.9920	205.7900	910.6050	1.0090	296.8530	0.1190	101	SMI	1M	0deg
2	25	1.0000	869.9750	886.3250	0.7510	304.6620	0.1210	101	SMI	1M	0deg
3	15	0.9920	885.6390	563.7560	0.9610	309.3650	0.1760	101	SMI	1M	0deg
4	11	1.0080	223.1320	558.9500	0.9510	313.7670	0.1190	101	SMI	1M	0deg
5	3	1.0080	552.0500	219.3970	0.8640	314.6280	0.1630	101	SMI	1M	0deg
6	5	1.0000	878.7170	194.5250	0.6210	328.4570	0.1240	101	SMI	1M	0deg
7	1	0.9920	221.5460	187.4620	0.6840	339.2470	0.1400	101	SMI	1M	0deg
8	23	1.0080	539.9750	856.1320	0.5360	330.3030	0.2470	101	SMI	1M	0deg
9	13	0.9830	550.0250	537.8220	0.7310	322.9090	0.1460	101	SMI	1M	0deg
1	11	0.9830	223.5510	625.1950	1.6030	294.4350	0.2900	101	SMI	1M	10Ldeg
2	25	1.0000	855.9580	863.5750	0.4400	306.8020	0.2080	101	SMI	1M	10Ldeg
3	3	1.0080	509.6780	184.3720	0.2350	298.6610	0.2220	101	SMI	1M	10Ldeg
4	15	0.9750	856.4620	525.5730	0.4020	312.1270	0.1910	101	SMI	1M	10Ldeg
5	13	1.0080	515.6200	495.8760	0.1880	374.7900	0.1490	101	SMI	1M	10Ldeg
6	1	1.0000	154.6580	119.2080	0.5710	464.1990	0.2040	101	SMI	1M	10Ldeg
7	5	0.9750	826.8120	100.0090	0.7810	455.5880	0.1660	101	SMI	1M	10Ldeg
